Edad,Ingreso_Mensual,Deuda_Actual,Historial_Crediticio,Numero_Creditos,Ratio_Deuda,Capacidad_Pago,Riesgo_Financiero,Riesgo_Morosidad
0.5294117647058824,0.8097090976468408,0.8522660388463803,0,2,0.7784816490698844,2203,0,1
0.823529411764706,0.6855660552158607,0.1437316068275456,0,2,0.2002324230098779,6882,1,0
0.4705882352941176,0.5934778580692976,0.4133019423190112,0,1,0.5272631717251347,3598,1,0
0.4705882352941176,0.4065221419307022,0.3916421424367274,2,7,0.6846057571964956,1764,0,1
0.5686274509803921,0.580692977580137,0.9216009417304296,0,7,1.1148133279807306,-858,0,1
0.0392156862745098,0.6057068741893645,0.8922895821071218,0,7,1.0437814800464935,-339,0,1
0.0,0.0117657958124884,0.2203649205414949,0,1,1.7822822822822824,-1042,0,1
0.2352941176470588,0.5506763016490643,0.8115361977633903,2,1,1.034550286753392,-247,0,1
0.823529411764706,0.8604780433574208,0.870276633313714,1,5,0.7524063661488611,2598,0,1
0.8431372549019608,0.4006855660552158,0.5298410829899941,0,4,0.9047016274864376,527,0,1
0.8627450980392156,0.7743190661478598,0.8775750441436139,0,3,0.8320610687022901,1606,0,1
0.0588235294117647,0.2700574393181397,0.7672748675691583,0,6,1.703883495145631,-2900,0,1
0.8627450980392156,0.5385399295905133,0.7965862271924662,2,4,1.035765175263608,-251,0,1
0.8039215686274509,0.9356123772466184,0.3318422601530312,0,6,0.2937898089171974,7983,1,0
0.2941176470588236,0.8792847878450991,0.0027074749852854,0,1,0.0490837696335078,10171,1,0
0.1764705882352941,0.4405225125069482,0.1861094761624485,1,4,0.349496644295302,3877,1,1
0.6862745098039217,0.6183991106170095,0.2388463802236609,2,3,0.3211928934010152,5349,1,0
0.8627450980392156,0.9798035945895868,0.2323719835197175,2,7,0.210168916051269,9305,1,0
0.0196078431372549,0.2006670372429127,0.4211889346674514,0,6,1.2103233461880747,-709,0,1
0.5686274509803921,0.2547711691680563,0.886992348440259,0,2,2.032111251580278,-4082,0,1
0.3921568627450981,0.4863813229571984,0.8206003531489111,0,1,1.157707203718048,-1018,0,1
0.5490196078431373,0.5541967759866593,0.8667451442024721,1,1,1.094336997356338,-678,0,1
0.6274509803921569,0.1018158236057068,0.4774573278399058,2,5,1.9782986111111112,-2254,0,1
0.1960784313725491,0.3506577728367611,0.509123013537375,2,2,0.9673346693386774,163,0,1
0.5490196078431373,0.6751899203261071,0.4295467922307239,0,7,0.4887554456611327,4342,1,0
0.1372549019607843,0.9301463776171944,0.1991759858740435,2,4,0.1951089373054691,9051,1,0
0.9607843137254902,0.1053362979433018,0.2748675691583284,0,5,1.2113578138343295,-495,0,1
0.7254901960784313,0.0964424680377987,0.5397292525014715,0,5,2.264915405164737,-2841,0,1
0.8431372549019608,0.907078006299796,0.2087110064743967,0,4,0.2068934157875591,8721,1,0
0.1568627450980392,0.8599221789883269,0.5609181871689229,0,3,0.5022408696481357,5220,1,0
0.3333333333333333,0.484065221419307,0.1716303708063566,2,7,0.3048211508553655,4470,1,0
0.1764705882352941,0.2779321845469705,0.9957622130665096,2,1,2.1310344827586207,-4756,0,1
0.6274509803921569,0.0269594219010561,0.4421424367274867,2,3,2.8462566844919786,-2762,0,1
0.2745098039215686,0.8254585881045025,0.6454384932313125,1,5,0.5916955017301038,4130,1,1
0.9803921568627452,0.1719473781730591,0.4984108298999412,0,4,1.5472067951649788,-1675,0,1
0.6862745098039217,0.0819899944413563,0.3271336080047086,0,5,1.5698564593301436,-1191,0,1
0.9803921568627452,0.9374652584769316,0.7015891701000588,0,3,0.5706464146944542,4862,1,0
0.8039215686274509,0.0332592180841208,0.7698646262507357,0,3,4.502557544757034,-5478,0,1
0.5490196078431373,0.8069297758013712,0.2523837551500882,0,3,0.2668683812405446,7269,1,0
0.1372549019607843,0.1146007040948675,0.8735726898175398,1,7,3.2444717444717446,-5481,0,1
0.6470588235294118,0.5201964054104131,0.8030606238964096,0,3,1.073900293255132,-504,0,1
0.5098039215686275,0.206781545302946,0.7919952913478517,0,4,2.1035787023567063,-3793,0,1
0.4901960784313726,0.5021308134148601,0.5309005297233668,1,7,0.7565283018867924,1613,0,1
0.0,0.5968130442838613,0.9837551500882872,1,6,1.1584935268732837,-1212,0,1
0.607843137254902,0.8329627570872706,0.3252501471453796,0,7,0.3202236171047469,6931,1,0
0.607843137254902,0.065869927737632,0.97021777516186,2,1,4.563674321503132,-6828,0,1
0.2745098039215686,0.8767833981841764,0.4238964096527369,0,5,0.3845721248476895,6566,1,0
0.0196078431372549,0.5025013896609227,0.2940553266627427,1,5,0.4525569467491326,3629,1,1
0.7254901960784313,0.3105428942004817,0.3397292525014714,2,1,0.7434715821812596,1169,0,1
0.7843137254901961,0.6158050768945711,0.5731606827545616,2,6,0.6840295466123281,2481,0,1
0.8627450980392156,0.3335186214563646,0.1748087110064743,0,6,0.4135275754422476,2818,1,0
0.607843137254902,0.0692977580137113,0.9361977633902296,1,5,4.329237071172555,-6502,0,1
0.823529411764706,0.0764313507504169,0.2224838140082401,2,4,1.1783251231527094,-362,0,1
0.3725490196078431,0.8490828237909949,0.9160682754561508,0,5,0.7988428158148505,2086,0,1
0.2549019607843137,0.8122104873077636,0.0989994114184814,1,6,0.1346770958684316,8629,1,1
0.0588235294117647,0.3272188252733,0.9126545026486168,0,5,1.742664133417775,-3518,0,1
0.4509803921568628,0.0806003335186214,0.4268393172454385,1,4,1.9893975903614456,-2053,0,1
0.0784313725490196,0.8542708912358719,0.0698057680988817,2,4,0.1050258967964703,9331,1,0
1.0,0.7632944228274967,0.3883460859329017,2,1,0.4024777636594663,5643,1,0
0.5490196078431373,0.5253844728552899,0.2736904061212478,0,4,0.4111401977894124,4049,1,0
0.1372549019607843,0.0595701315545673,0.8447321954090642,2,3,4.154761904761905,-5830,0,1
1.0,0.4439503427830276,0.5576221306650971,0,7,0.8736034684008671,758,0,1
0.6470588235294118,0.955160274226422,0.8545026486168334,2,1,0.6739904472427268,3754,0,1
0.5686274509803921,0.3688160088938298,0.3039434961742201,0,5,0.5946779791747011,2102,1,0
0.1568627450980392,0.4836946451732444,0.1596233078281342,0,3,0.2891378773731715,4568,1,0
0.9215686274509804,0.0396516583287011,0.6859329017068865,0,6,3.875688916105328,-4696,0,1
0.6470588235294118,0.0347415230683713,0.1104178928781636,0,7,0.9113924050632912,140,0,1
0.1764705882352941,0.8138780804150454,0.6157739846968806,0,4,0.5738738738738739,4257,1,0
0.7254901960784313,0.4545117657958125,0.2596821659799882,2,6,0.4431353297332678,3403,1,0
0.2156862745098039,0.6511951083935519,0.6483814008240142,0,3,0.7299004129220306,2224,0,1
0.4705882352941176,0.7168797480081526,0.0841671571512654,2,1,0.1360840881136084,7726,1,0
0.9411764705882354,0.5943116546229386,0.6898175397292525,0,2,0.8349081364829396,1258,0,1
0.0980392156862745,0.2787659811006114,0.0134196586227192,1,7,0.1461794019933555,3598,1,1
0.5490196078431373,0.285899573837317,0.1688051795173631,0,2,0.4511768818457236,2355,1,0
0.4901960784313726,0.3480637391143227,0.2466156562683931,2,6,0.5233776702942362,2365,1,0
0.9411764705882354,0.4283861404483972,0.8477928193054738,0,1,1.321667524446732,-1875,0,1
0.7254901960784313,0.4826755604965722,0.1320776927604473,1,3,0.2531566640685892,4791,1,1
